Method,dH.kcal.mol,SE.dH.kcal.mol,dS.cal.molK,SE.dS.cal.molK,dG.kcal.mol,SE.dG.kcal.mol,Tm.degC,SE.Tm.degC
1 individual fits,-63.32,1.928,-174.65,6.191,-9.15,0.030,50.4,
2 Tm versus ln[Ct],-63.61,1.507,-175.57,4.712,-9.16,0.047,50.4,
