Concentration.M,dH.kcal.mol,dS.cal.molK,dG.kcal.mol,Tm.degC
4.44E-06,-60.62,-165.96,-9.15,40.64
1.15E-05,-61.91,-170.17,-9.13,43.50
1.14E-05,-67.18,-186.96,-9.20,43.26
1.99E-05,-62.74,-172.82,-9.14,45.19
3.41E-05,-64.61,-178.87,-9.14,46.66
5.42E-05,-62.50,-171.83,-9.21,48.85
8.89E-05,-64.53,-178.62,-9.13,49.63
1.42E-04,-63.60,-175.61,-9.13,51.40
2.32E-04,-62.16,-170.97,-9.13,53.39
