Sample,Pathlength,Temperature,Absorbance, ,, ,, 
2,0.1,19,0.8786,,,,,
2,0.1,19.5,0.8789,,,,,
2,0.1,20,0.8792,,,,,
2,0.1,20.5,0.8795,,,,,
2,0.1,21,0.8801,,,,,
2,0.1,21.5,0.8801,,,,,
2,0.1,22,0.8801,,,,,
2,0.1,22.5,0.8804,,,,,
2,0.1,23,0.881,,,,,
2,0.1,23.5,0.8813,,,,,
2,0.1,24,0.8813,,,,,
2,0.1,24.5,0.8819,,,,,
2,0.1,25,0.8825,,,,,
2,0.1,25.5,0.8828,,,,,
2,0.1,26,0.8831,,,,,
2,0.1,26.4,0.8834,,,,,
2,0.1,26.8,0.884,,,,,
2,0.1,27.2,0.884,,,,,
2,0.1,27.6,0.8843,,,,,
2,0.1,28.1,0.8849,,,,,
2,0.1,28.6,0.8852,,,,,
2,0.1,29,0.8858,,,,,
2,0.1,29.5,0.8858,,,,,
2,0.1,30,0.8865,,,,,
2,0.1,30.5,0.8877,,,,,
2,0.1,31,0.8877,,,,,
2,0.1,31.4,0.8883,,,,,
2,0.1,31.9,0.8889,,,,,
2,0.1,32.5,0.8898,,,,,
2,0.1,32.9,0.8908,,,,,
2,0.1,33.4,0.8911,,,,,
2,0.1,33.9,0.8923,,,,,
2,0.1,34.4,0.8933,,,,,
2,0.1,34.9,0.8945,,,,,
2,0.1,35.4,0.8957,,,,,
2,0.1,35.9,0.897,,,,,
2,0.1,36.3,0.8986,,,,,
2,0.1,36.8,0.9005,,,,,
2,0.1,37.3,0.9011,,,,,
2,0.1,37.7,0.9027,,,,,
2,0.1,38.2,0.9046,,,,,
2,0.1,38.7,0.9062,,,,,
2,0.1,39.2,0.9081,,,,,
2,0.1,39.7,0.9104,,,,,
2,0.1,40.2,0.9123,,,,,
2,0.1,40.7,0.914,,,,,
2,0.1,41.2,0.9159,,,,,
2,0.1,41.7,0.9186,,,,,
2,0.1,42.2,0.9206,,,,,
2,0.1,42.7,0.9229,,,,,
2,0.1,43.2,0.9256,,,,,
2,0.1,43.7,0.9272,,,,,
2,0.1,44.2,0.9299,,,,,
2,0.1,44.7,0.9327,,,,,
2,0.1,45.2,0.9354,,,,,
2,0.1,45.6,0.9381,,,,,
2,0.1,46.1,0.9409,,,,,
2,0.1,46.7,0.9434,,,,,
2,0.1,47.2,0.9469,,,,,
2,0.1,47.7,0.9497,,,,,
2,0.1,48.1,0.9525,,,,,
2,0.1,48.6,0.9558,,,,,
2,0.1,49.1,0.9586,,,,,
2,0.1,49.6,0.9612,,,,,
2,0.1,50.1,0.9648,,,,,
2,0.1,50.6,0.967,,,,,
2,0.1,51.1,0.97,,,,,
2,0.1,51.6,0.9726,,,,,
2,0.1,52.1,0.976,,,,,
2,0.1,52.7,0.9786,,,,,
2,0.1,53.1,0.9813,,,,,
2,0.1,53.6,0.984,,,,,
2,0.1,54.1,0.9859,,,,,
2,0.1,54.6,0.9886,,,,,
2,0.1,55.1,0.9905,,,,,
2,0.1,55.6,0.9929,,,,,
2,0.1,56.1,0.9945,,,,,
2,0.1,56.6,0.9964,,,,,
2,0.1,57.1,0.9992,,,,,
2,0.1,57.6,1.0028,,,,,
2,0.1,58.1,1.0048,,,,,
2,0.1,58.6,1.0064,,,,,
2,0.1,59.1,1.0088,,,,,
2,0.1,59.5,1.0101,,,,,
2,0.1,60,1.0117,,,,,
2,0.1,60.6,1.0133,,,,,
2,0.1,61,1.0142,,,,,
2,0.1,61.5,1.015,,,,,
2,0.1,62,1.0162,,,,,
2,0.1,62.6,1.017,,,,,
2,0.1,63,1.0179,,,,,
2,0.1,63.5,1.0183,,,,,
2,0.1,64.1,1.0183,,,,,
2,0.1,64.5,1.0195,,,,,
2,0.1,65,1.02,,,,,
2,0.1,65.5,1.02,,,,,
2,0.1,66,1.02,,,,,
2,0.1,66.5,1.0204,,,,,
2,0.1,67,1.0208,,,,,
2,0.1,67.5,1.0208,,,,,
2,0.1,68,1.0208,,,,,
2,0.1,68.5,1.0204,,,,,
2,0.1,69,1.0204,,,,,
2,0.1,69.5,1.0208,,,,,
2,0.1,69.9,1.0216,,,,,
2,0.1,70.5,1.0229,,,,,
2,0.1,70.9,1.0229,,,,,
2,0.1,71.5,1.0241,,,,,
2,0.1,72,1.0271,,,,,
2,0.1,72.5,1.0284,,,,,
2,0.1,73,1.0318,,,,,
2,0.1,73.4,1.0318,,,,,
2,0.1,74.1,1.0326,,,,,
2,0.1,74.4,1.0348,,,,,
2,0.1,74.9,1.0352,,,,,
2,0.1,75.4,1.0374,,,,,
