Sample,Pathlength,Temperature,Absorbance, ,, ,, 
1,1,11,-0.0047,,,,,
1,1,11.2,-0.0047,,,,,
1,1,11.7,-0.0047,,,,,
1,1,12.2,-0.0047,,,,,
1,1,12.7,-0.0047,,,,,
1,1,13.1,-0.0046,,,,,
1,1,13.6,-0.0046,,,,,
1,1,14.1,-0.0046,,,,,
1,1,14.6,-0.0046,,,,,
1,1,15,-0.0045,,,,,
1,1,15.5,-0.0044,,,,,
1,1,16,-0.0044,,,,,
1,1,16.5,-0.0044,,,,,
1,1,17,-0.0044,,,,,
1,1,17.5,-0.0043,,,,,
1,1,18,-0.0042,,,,,
1,1,18.5,-0.0043,,,,,
1,1,19,-0.0042,,,,,
1,1,19.5,-0.0043,,,,,
1,1,20,-0.0041,,,,,
1,1,20.5,-0.0041,,,,,
1,1,21,-0.0041,,,,,
1,1,21.5,-0.004,,,,,
1,1,22,-0.004,,,,,
1,1,22.5,-0.004,,,,,
1,1,23,-0.0039,,,,,
1,1,23.5,-0.0038,,,,,
1,1,24,-0.0038,,,,,
1,1,24.5,-0.0037,,,,,
1,1,25,-0.0037,,,,,
1,1,25.5,-0.0037,,,,,
1,1,26,-0.0037,,,,,
1,1,26.4,-0.0037,,,,,
1,1,26.8,-0.0036,,,,,
1,1,27.2,-0.0036,,,,,
1,1,27.6,-0.0035,,,,,
1,1,28.1,-0.0035,,,,,
1,1,28.6,-0.0034,,,,,
1,1,29,-0.0034,,,,,
1,1,29.5,-0.0034,,,,,
1,1,30,-0.0034,,,,,
1,1,30.5,-0.0032,,,,,
1,1,31,-0.0032,,,,,
1,1,31.4,-0.0032,,,,,
1,1,31.9,-0.0032,,,,,
1,1,32.4,-0.003,,,,,
1,1,32.9,-0.0028,,,,,
1,1,33.4,-0.0029,,,,,
1,1,33.8,-0.0029,,,,,
1,1,34.4,-0.0028,,,,,
1,1,34.9,-0.0027,,,,,
1,1,35.4,-0.0027,,,,,
1,1,35.9,-0.0025,,,,,
1,1,36.3,-0.0025,,,,,
1,1,36.8,-0.0026,,,,,
1,1,37.4,-0.0025,,,,,
1,1,37.7,-0.0024,,,,,
1,1,38.2,-0.0023,,,,,
1,1,38.7,-0.0022,,,,,
1,1,39.2,-0.0022,,,,,
1,1,39.7,-0.0021,,,,,
1,1,40.2,-0.002,,,,,
1,1,40.7,-0.002,,,,,
1,1,41.2,-0.0019,,,,,
1,1,41.7,-0.0018,,,,,
1,1,42.2,-0.0018,,,,,
1,1,42.7,-0.0017,,,,,
1,1,43.2,-0.0018,,,,,
1,1,43.7,-0.0016,,,,,
1,1,44.2,-0.0015,,,,,
1,1,44.7,-0.0016,,,,,
1,1,45.2,-0.0014,,,,,
1,1,45.6,-0.0014,,,,,
1,1,46.1,-0.0014,,,,,
1,1,46.6,-0.0013,,,,,
1,1,47.1,-0.0013,,,,,
1,1,47.6,-0.0013,,,,,
1,1,48.1,-0.0013,,,,,
1,1,48.6,-0.0012,,,,,
1,1,49.1,-0.0011,,,,,
1,1,49.6,-0.0012,,,,,
1,1,50.1,-0.0011,,,,,
1,1,50.6,-0.0011,,,,,
1,1,51.1,-0.001,,,,,
1,1,51.6,-0.001,,,,,
1,1,52.1,-0.0009,,,,,
1,1,52.7,-0.0009,,,,,
1,1,53.1,-0.0009,,,,,
1,1,53.6,-0.0009,,,,,
1,1,54.1,-0.0007,,,,,
1,1,54.6,-0.0007,,,,,
1,1,55.1,-0.0008,,,,,
1,1,55.6,-0.0005,,,,,
1,1,56.1,-0.0006,,,,,
1,1,56.6,-0.0006,,,,,
1,1,57.1,-0.0006,,,,,
1,1,57.6,-0.0004,,,,,
1,1,58.1,-0.0004,,,,,
1,1,58.5,-0.0004,,,,,
1,1,59.1,-0.0002,,,,,
1,1,59.5,-0.0001,,,,,
1,1,60.1,0.0001,,,,,
1,1,60.5,0.0001,,,,,
1,1,61,0.0004,,,,,
1,1,61.6,0.0004,,,,,
1,1,62,0.0006,,,,,
1,1,62.6,0.0008,,,,,
1,1,63,0.0009,,,,,
1,1,63.5,0.0011,,,,,
1,1,64.1,0.0012,,,,,
1,1,64.5,0.0014,,,,,
1,1,65,0.0017,,,,,
1,1,65.5,0.0017,,,,,
1,1,65.9,0.0019,,,,,
1,1,66.5,0.002,,,,,
1,1,67,0.0023,,,,,
1,1,67.5,0.0025,,,,,
1,1,68,0.0027,,,,,
1,1,68.5,0.0029,,,,,
1,1,69,0.0031,,,,,
1,1,69.6,0.0034,,,,,
1,1,69.9,0.0036,,,,,
1,1,70.5,0.0038,,,,,
1,1,70.9,0.0042,,,,,
1,1,71.5,0.0043,,,,,
1,1,71.9,0.0045,,,,,
1,1,72.4,0.0048,,,,,
1,1,73,0.0049,,,,,
1,1,73.4,0.0053,,,,,
1,1,74.1,0.0054,,,,,
1,1,74.4,0.0057,,,,,
1,1,75,0.0058,,,,,
1,1,75.4,0.006,,,,,
1,1,76,0.0063,,,,,
1,1,76.5,0.0064,,,,,
1,1,76.8,0.0068,,,,,
1,1,77.5,0.007,,,,,
1,1,77.9,0.0074,,,,,
1,1,78.4,0.0076,,,,,
1,1,78.8,0.008,,,,,
1,1,79.4,0.0083,,,,,
1,1,79.8,0.0087,,,,,
1,1,80.4,0.0092,,,,,
1,1,80.8,0.0095,,,,,
1,1,81.4,0.01,,,,,
1,1,81.8,0.0106,,,,,
1,1,82.5,0.0111,,,,,
1,1,82.8,0.0114,,,,,
1,1,83.3,0.0118,,,,,
1,1,83.8,0.0124,,,,,
1,1,84.3,0.0128,,,,,
1,1,84.8,0.0133,,,,,
1,1,85.5,0.0139,,,,,
1,1,85.8,0.0143,,,,,
1,1,86.3,0.0148,,,,,
1,1,86.8,0.0154,,,,,
1,1,87.2,0.0161,,,,,
1,1,87.8,0.0168,,,,,
1,1,88.3,0.0177,,,,,
1,1,88.8,0.0184,,,,,
1,1,89.4,0.0189,,,,,
2,0.1,11,0.4074,,,,,
2,0.1,11.2,0.4077,,,,,
2,0.1,11.7,0.4079,,,,,
2,0.1,12.2,0.4081,,,,,
2,0.1,12.7,0.4082,,,,,
2,0.1,13.1,0.4083,,,,,
2,0.1,13.6,0.4084,,,,,
2,0.1,14.1,0.4084,,,,,
2,0.1,14.6,0.4085,,,,,
2,0.1,15,0.4087,,,,,
2,0.1,15.5,0.4088,,,,,
2,0.1,16,0.409,,,,,
2,0.1,16.5,0.4092,,,,,
2,0.1,17,0.4092,,,,,
2,0.1,17.5,0.4096,,,,,
2,0.1,18,0.4096,,,,,
2,0.1,18.5,0.4098,,,,,
2,0.1,19,0.4098,,,,,
2,0.1,19.5,0.4099,,,,,
2,0.1,20,0.41,,,,,
2,0.1,20.5,0.4101,,,,,
2,0.1,21,0.4104,,,,,
2,0.1,21.5,0.4104,,,,,
2,0.1,22,0.4106,,,,,
2,0.1,22.5,0.411,,,,,
2,0.1,23,0.4111,,,,,
2,0.1,23.5,0.4112,,,,,
2,0.1,24,0.4114,,,,,
2,0.1,24.5,0.4117,,,,,
2,0.1,25,0.412,,,,,
2,0.1,25.5,0.4123,,,,,
2,0.1,26,0.4123,,,,,
2,0.1,26.4,0.4127,,,,,
2,0.1,26.8,0.4129,,,,,
2,0.1,27.2,0.4132,,,,,
2,0.1,27.6,0.4134,,,,,
2,0.1,28.1,0.4137,,,,,
2,0.1,28.6,0.4138,,,,,
2,0.1,29,0.4142,,,,,
2,0.1,29.5,0.4144,,,,,
2,0.1,30,0.4147,,,,,
2,0.1,30.5,0.4149,,,,,
2,0.1,31,0.4154,,,,,
2,0.1,31.4,0.4158,,,,,
2,0.1,31.9,0.4159,,,,,
2,0.1,32.4,0.4165,,,,,
2,0.1,32.9,0.4165,,,,,
2,0.1,33.4,0.417,,,,,
2,0.1,33.8,0.4176,,,,,
2,0.1,34.4,0.4181,,,,,
2,0.1,34.9,0.419,,,,,
2,0.1,35.4,0.4198,,,,,
2,0.1,35.9,0.4206,,,,,
2,0.1,36.3,0.4215,,,,,
