Concentration.M,dH.kcal.mol,dS.kcal.molK,dG.kcal.mol,Tm.degC
4.06E-06,-61.77,-170.16,-9,39.49
1.11E-05,,,,
1.1E-05,-69.16,-193.43,-9.16,42.82
1.95E-05,-60.01,-164.18,-9.09,45.25
3.33E-05,-57.74,-157.04,-9.03,47.12
5.34E-05,-62.73,-172.32,-9.29,49.2
8.51E-05,-60.96,-167.24,-9.09,50.06
0.000138,-63.63,-175.42,-9.23,51.79
0.000228,-65.4,-180.63,-9.38,53.76
