Method,dH.kcal.mol,SE.dH.kcal.mol,dS.kcal.molK,SE.dS.kcal.molK,dG.kcal.mol,SE.dG.kcal.mol,Tm.degC,SE.Tm.degC
1 individual fits,-62.68,3.496,-172.55,11.045,-9.16,0.131,50.6,
2 Tm versus ln[Ct],-57.56,1.484,-156.59,4.632,-8.99,0.049,50.9,
