Method,dH.kcal.mol,SE.dH.kcal.mol,dS.cal.molK,SE.dS.cal.molK,dG.kcal.mol,SE.dG.kcal.mol,Tm.degC,SE.Tm.degC
1 individual fits,-74.43,2.316,-197.46,6.709,-13.19,0.275,67.5,
2 Tm versus ln[Ct],-74.63,6.170,-198.05,18.308,-13.21,0.508,67.5,
