"Method","dH","SE.dH","dS","SE.dS","dG","SE.dG","Tm_at_0.1mM","SE.Tm_at_0.1mM"
"1 individual fits",-54.95,1.3,-151.97,4.11,-7.82,0.21,49.58,3.82
"2 Tm versus ln[Ct]",-56.18,5.73,-155.73,17.82,-7.88,0.21,49.63,0.45
"3 Global fit",-55.38,0.17,-153.16,0.52,-7.88,0.01,49.85,0.04
