"Method","H","SE.H","S","SE.S","G","SE.G","Tm_at_0.1mM","SE.Tm_at_0.1mM"
"1 individual fits",-67.79,3.33,-185.7,10.35,-10.2,0.14,54.72,4.07
"2 Tm versus ln[Ct]",-66.65,1.61,-182.18,5,-10.15,0.06,54.79,2
"3 Global fit",-67.72,0.32,-185.41,0.98,-10.21,0.02,54.84,0.39
