"Method","dH","SE.dH","dS","SE.dS","dG","SE.dG","Tm_at_0.1mM","SE.Tm_at_0.1mM"
"1 Individual fits",-58.32,6.45,-180.4,21.66,-2.37,0.29,20.36,15.2
"2 Tm versus ln[Ct]",-51.36,4.1,-156.62,14.1,-2.78,0.28,20.46,0.43
"3 Global fit",-62.78,1.01,-195.41,3.37,-2.18,0.04,20.63,0.11
