"Method","dH","CI95.dH","dS","CI95.dS","dG","CI95.dG","Tm_at_0.1mM","CI95.Tm_at_0.1mM"
"1 Individual fits",-62.29,"-66.13 to -60.01",-193.93,"-207.2 to -186.06",-2.14,"-2.31 to -1.86",20.34,"20.05 to 20.49"
"2 Tm versus ln[Ct]",-62.03,"-65.52 to -59.39",-193.06,"-205.08 to -183.95",-2.15,"-2.34 to -1.92",20.34,"20.12 to 20.53"
"3 Global fit",-64.32,"-66.96 to -62.42",-200.62,"-209.49 to -194.2",-2.1,"-2.19 to -1.96",20.65,"20.51 to 20.79"
