"Method","dH","SE.dH","dS","SE.dS","dG","SE.dG","Tm_at_0.1mM","SE.Tm_at_0.1mM"
"1 Individual fits",-73.83,6.66,-196.09,19.62,-13.02,0.6,71.24,13.38
"2 Tm versus ln[Ct]",-83.26,5.78,-223.83,16.94,-13.84,0.53,70.7,0.31
"3 Global fit",-76.57,0.32,-204.18,0.93,-13.25,0.03,71.03,0.03
