"Sample","Ct","H","S","G","Tm"
3,5.22368732620321e-06,-57.74,-0.1523,-10.51,49.03
4,7.83053312834225e-06,-52.11,-0.1348,-10.31,50.73
5,1.34917886631016e-05,-56.09,-0.1471,-10.47,52.71
6,2.24300119251337e-05,-58.22,-0.1542,-10.4,53.53
7,4.05704273796791e-05,-64.46,-0.1729,-10.85,56.2
8,6.25263560962567e-05,-61.61,-0.1646,-10.55,56.98
9,6.54210381818182e-05,-54.57,-0.1433,-10.12,57.11
