"Method","H","SE.H","S","SE.S","G","SE.G","Tm_at_0.1mM","SE.Tm_at_0.1mM"
"1 individual fits",-57.83,4.18,-152.74,12.86,-10.46,0.22,59.59,6.61
"2 Tm versus ln[Ct]",-67.34,3.21,-181.89,9.81,-10.93,0.17,58.66,4.22
"3 Global fit",-60.74,0.44,-161.68,1.34,-10.6,0.03,59.24,0.65
