Concentration.M,dH.kcal.mol,dS.cal.molK,dG.kcal.mol,Tm.degC
4.50E-06,-80.10,-214.48,-13.58,58.25
8.16E-06,-70.12,-211.15,-13.63,60.41
1.48E-06,-82.85,-222.86,-13.73,61.30
2.63E-05,-83.16,-224.64,-13.48,61.68
4.82E-05,-80.68,-216.22,-13.62,64.82
8.65E-05,-82.10,-220.37,-13.75,66.51
1.16E-04,-79.82,-213.55,-13.59,67.52
