Method,dH.kcal.mol,SE.dH.kcal.mol,dS.cal.molK,SE.dS.cal.molK,dG.kcal.mol,SE.dG.kcal.mol,Tm.degC,SE.Tm.degC
1 individual fits,-81.12,1.583,-217.61,5.076,-13.63,0.092,66.7,
2 Tm versus ln[Ct],-81.05,6.734,-217.41,20.017,-13.62,0.538,66.7,
