Method,dH.kcal.mol,SE.dH.kcal.mol,dS.kcal.molK,SE.dS.kcal.molK,dG.kcal.mol,SE.dG.kcal.mol,Tm.degC,SE.Tm.degC
1 individual fits,-51.79,7.329,-143.76,23.405,-7.2,0.208,41.1,
2 Tm versus ln[Ct],-46.21,2.565,-125.81,8.3,-7.19,0.056,41.5,
