"Sample","Ct","H","S","G","Tm"
2,2.80847918192918e-06,-79.26,-0.211,-13.81,58.21
3,4.94266023606024e-06,-73.24,-0.1929,-13.4,59.78
4,7.63918697598698e-06,-71.43,-0.1877,-13.2,60.79
5,1.25431767195767e-05,-71.47,-0.1875,-13.31,62.85
6,1.96139517704518e-05,-78.52,-0.2075,-14.15,65.55
7,3.40697447293447e-05,-74.49,-0.1968,-13.45,65.42
8,5.17927940577941e-05,-72.14,-0.1903,-13.13,66.14
9,5.98693326210826e-05,-73.96,-0.1951,-13.44,67.33
