"Method","H","SE.H","S","SE.S","G","SE.G","Tm_at_0.1mM","SE.Tm_at_0.1mM"
"1 individual fits",-74.31,3.04,-196.1,8.8,-13.49,0.34,69.04,4.19
"2 Tm versus ln[Ct]",-76.26,6.44,-201.89,19.15,-13.64,0.51,68.9,8.75
"3 Global fit",-73.28,0.41,-192.83,1.21,-13.48,0.03,69.46,0.58
