Concentration.M,dH.kcal.mol,dS.cal.molK,dG.kcal.mol,Tm.degC
4.24E-06,-67.93,-187.40,-9.80,43.17
7.04E-06,-73.36,-204.37,-9.97,44.82
1.11E-05,-66.90,-184.12,-9.79,46.10
1.74E-05,-61.89,-168.45,-9.65,47.56
3.03E-05,-66.76,-183.70,-9.79,49.17
4.61E-05,-66.76,-183.45,-9.83,50.70
8.22E-05,-66.85,-184.19,-9.72,51.94
1.34E-04,-67.95,-187.39,-9.83,53.73
2.14E-04,-64.80,-177.37,-9.79,55.95
