"Method","dH","SE.dH","dS","SE.dS","dG","SE.dG","Tm_at_0.1mM","SE.Tm_at_0.1mM"
"1 Individual fits",-27.02,1.84,-79.77,5.54,-2.29,0.15,65.57,11.7
"3 Global fit",-28.04,0.66,-82.87,1.96,-2.34,0.06,65.57,NA
