"Method","H","SE.H","S","SE.S","G","SE.G","Tm_at_0.1mM","SE.Tm_at_0.1mM"
"1 individual fits",-83.46,2.77,-223.45,8.2,-14.16,0.28,68.19,3.37
"2 Tm versus ln[Ct]",-79.45,5.68,-211.49,16.93,-13.85,0.43,68.5,7.35
"3 Global fit",-80.56,0.68,-214.86,2,-13.93,0.06,68.33,0.86
