"Sample","Ct","H","S","G","Tm"
2,1.57290035590278e-06,-88.32,-0.2383,-14.41,56.87
3,2.67836782986111e-06,-81.45,-0.2174,-14.02,58.38
4,4.767311953125e-06,-79.81,-0.2122,-14.01,60.4
5,8.77353881076389e-06,-84.29,-0.226,-14.18,61.41
6,1.56471464322917e-05,-80.61,-0.2161,-13.59,61.58
8,5.07383876649306e-05,-84.91,-0.2274,-14.38,66.74
9,6.79614808940972e-05,-84.78,-0.2268,-14.45,67.9
7,2.79402732552083e-05,-83.51,-0.2234,-14.22,64.94
