Sample,Pathlength,Temperature,Absorbance, ,, ,, 
2,0.1,49.1,0.4107,,,,,
2,0.1,49.6,0.4134,,,,,
2,0.1,50.1,0.4166,,,,,
2,0.1,50.7,0.4196,,,,,
2,0.1,51.1,0.4221,,,,,
2,0.1,51.6,0.425,,,,,
2,0.1,52.1,0.4275,,,,,
2,0.1,52.6,0.43,,,,,
2,0.1,53.1,0.4321,,,,,
2,0.1,53.6,0.4345,,,,,
2,0.1,54.1,0.4365,,,,,
2,0.1,54.6,0.4382,,,,,
2,0.1,55.1,0.4399,,,,,
2,0.1,55.6,0.4413,,,,,
2,0.1,56.1,0.4427,,,,,
2,0.1,56.6,0.4439,,,,,
2,0.1,57.1,0.4449,,,,,
2,0.1,57.6,0.4455,,,,,
2,0.1,58.1,0.4466,,,,,
2,0.1,58.6,0.4473,,,,,
2,0.1,59.1,0.4478,,,,,
2,0.1,59.5,0.4484,,,,,
2,0.1,60.1,0.4489,,,,,
2,0.1,60.5,0.4493,,,,,
2,0.1,61.1,0.4496,,,,,
2,0.1,61.6,0.45,,,,,
2,0.1,62,0.4504,,,,,
2,0.1,62.6,0.4509,,,,,
2,0.1,63.1,0.451,,,,,
2,0.1,63.5,0.4513,,,,,
2,0.1,64.1,0.4516,,,,,
2,0.1,64.5,0.452,,,,,
2,0.1,65,0.452,,,,,
2,0.1,65.5,0.4521,,,,,
2,0.1,66,0.4523,,,,,
2,0.1,66.5,0.4523,,,,,
2,0.1,67,0.4526,,,,,
2,0.1,67.5,0.4529,,,,,
2,0.1,68,0.4531,,,,,
2,0.1,68.5,0.453,,,,,
2,0.1,69,0.4535,,,,,
2,0.1,69.5,0.4534,,,,,
2,0.1,70,0.4535,,,,,
2,0.1,70.5,0.4538,,,,,
2,0.1,70.9,0.4539,,,,,
2,0.1,71.4,0.4539,,,,,
2,0.1,72,0.4541,,,,,
2,0.1,72.5,0.4545,,,,,
2,0.1,73,0.4545,,,,,
2,0.1,73.5,0.4548,,,,,
2,0.1,73.9,0.455,,,,,
2,0.1,74.4,0.4552,,,,,
2,0.1,75,0.4557,,,,,
2,0.1,75.4,0.4557,,,,,
2,0.1,75.9,0.4559,,,,,
2,0.1,76.3,0.4562,,,,,
2,0.1,77,0.4563,,,,,
3,0.5,20.7,0.3702,,,,,
3,0.5,21,0.3705,,,,,
3,0.5,21.5,0.3706,,,,,
3,0.5,22,0.3708,,,,,
3,0.5,22.5,0.3712,,,,,
3,0.5,23,0.3716,,,,,
3,0.5,23.5,0.3718,,,,,
3,0.5,24,0.3723,,,,,
3,0.5,24.5,0.3726,,,,,
3,0.5,25,0.373,,,,,
3,0.5,25.5,0.3735,,,,,
3,0.5,26,0.374,,,,,
3,0.5,26.4,0.3744,,,,,
3,0.5,26.8,0.375,,,,,
3,0.5,27.3,0.375,,,,,
3,0.5,27.6,0.3753,,,,,
3,0.5,28.1,0.3757,,,,,
3,0.5,28.6,0.3763,,,,,
3,0.5,29,0.3766,,,,,
3,0.5,29.5,0.3771,,,,,
3,0.5,30,0.3778,,,,,
3,0.5,30.5,0.3787,,,,,
3,0.5,31,0.3792,,,,,
3,0.5,31.4,0.3798,,,,,
3,0.5,31.9,0.3805,,,,,
3,0.5,32.4,0.3815,,,,,
3,0.5,32.9,0.3822,,,,,
3,0.5,33.4,0.3832,,,,,
3,0.5,33.9,0.3839,,,,,
3,0.5,34.4,0.3849,,,,,
3,0.5,34.9,0.3861,,,,,
3,0.5,35.3,0.3871,,,,,
3,0.5,35.8,0.3881,,,,,
3,0.5,36.2,0.3892,,,,,
3,0.5,36.7,0.3906,,,,,
3,0.5,37.3,0.3922,,,,,
3,0.5,37.8,0.3938,,,,,
3,0.5,38.3,0.3955,,,,,
3,0.5,38.7,0.3973,,,,,
3,0.5,39.3,0.3998,,,,,
3,0.5,39.7,0.402,,,,,
3,0.5,40.3,0.4041,,,,,
3,0.5,40.7,0.4057,,,,,
3,0.5,41.2,0.4076,,,,,
3,0.5,41.7,0.4105,,,,,
3,0.5,42.2,0.4128,,,,,
3,0.5,42.7,0.4154,,,,,
3,0.5,43.2,0.418,,,,,
3,0.5,43.7,0.4205,,,,,
3,0.5,44.2,0.4236,,,,,
3,0.5,44.7,0.4262,,,,,
3,0.5,45.2,0.4294,,,,,
3,0.5,45.7,0.4317,,,,,
3,0.5,46.2,0.4347,,,,,
3,0.5,46.7,0.4374,,,,,
3,0.5,47.2,0.4404,,,,,
3,0.5,47.7,0.4428,,,,,
3,0.5,48.1,0.4454,,,,,
3,0.5,48.6,0.4471,,,,,
3,0.5,49.1,0.4493,,,,,
3,0.5,49.6,0.4509,,,,,
3,0.5,50.1,0.4528,,,,,
3,0.5,50.7,0.4543,,,,,
3,0.5,51.1,0.4555,,,,,
3,0.5,51.6,0.4572,,,,,
3,0.5,52.1,0.4586,,,,,
3,0.5,52.6,0.4595,,,,,
3,0.5,53.1,0.4604,,,,,
3,0.5,53.6,0.461,,,,,
3,0.5,54.1,0.4615,,,,,
3,0.5,54.6,0.4626,,,,,
3,0.5,55.1,0.4632,,,,,
3,0.5,55.6,0.4641,,,,,
3,0.5,56.1,0.4641,,,,,
3,0.5,56.6,0.4646,,,,,
3,0.5,57.1,0.4646,,,,,
3,0.5,57.6,0.4651,,,,,
3,0.5,58.1,0.4655,,,,,
3,0.5,58.6,0.466,,,,,
3,0.5,59.1,0.466,,,,,
3,0.5,59.5,0.4663,,,,,
3,0.5,60.1,0.4667,,,,,
3,0.5,60.5,0.467,,,,,
3,0.5,61.1,0.4668,,,,,
3,0.5,61.6,0.467,,,,,
3,0.5,62,0.4675,,,,,
3,0.5,62.6,0.4676,,,,,
3,0.5,63.1,0.4677,,,,,
3,0.5,63.5,0.468,,,,,
3,0.5,64.1,0.4681,,,,,
3,0.5,64.5,0.4684,,,,,
3,0.5,65,0.4685,,,,,
3,0.5,65.5,0.4688,,,,,
3,0.5,66,0.4688,,,,,
3,0.5,66.5,0.469,,,,,
3,0.5,67,0.4693,,,,,
3,0.5,67.5,0.4694,,,,,
3,0.5,68,0.4697,,,,,
3,0.5,68.5,0.4701,,,,,
3,0.5,69,0.4701,,,,,
3,0.5,69.5,0.4702,,,,,
3,0.5,70,0.4705,,,,,
3,0.5,70.5,0.4707,,,,,
3,0.5,70.9,0.4711,,,,,
3,0.5,71.4,0.4711,,,,,
3,0.5,72,0.4714,,,,,
3,0.5,72.5,0.4718,,,,,
3,0.5,73,0.4718,,,,,
3,0.5,73.5,0.4723,,,,,
3,0.5,73.9,0.4724,,,,,
3,0.5,74.4,0.4727,,,,,
3,0.5,75,0.4732,,,,,
3,0.5,75.4,0.4734,,,,,
3,0.5,75.9,0.4738,,,,,
3,0.5,76.3,0.4742,,,,,
3,0.5,77,0.4747,,,,,
4,1,20.7,0.2203,,,,,
4,1,21,0.2202,,,,,
4,1,21.5,0.2203,,,,,
4,1,22,0.2202,,,,,
4,1,22.5,0.2205,,,,,
4,1,23,0.2208,,,,,
4,1,23.5,0.2208,,,,,
4,1,24,0.2211,,,,,
4,1,24.5,0.2216,,,,,
4,1,25,0.2219,,,,,
4,1,25.5,0.2225,,,,,
4,1,26,0.2225,,,,,
4,1,26.4,0.2222,,,,,
4,1,26.8,0.2222,,,,,
4,1,27.3,0.2224,,,,,
4,1,27.6,0.2226,,,,,
4,1,28.1,0.2228,,,,,
4,1,28.6,0.2234,,,,,
4,1,29,0.2238,,,,,
4,1,29.5,0.2244,,,,,
4,1,30,0.2248,,,,,
4,1,30.5,0.2251,,,,,
4,1,31,0.2257,,,,,
4,1,31.4,0.2263,,,,,
4,1,31.9,0.2266,,,,,
4,1,32.4,0.227,,,,,
4,1,32.9,0.2278,,,,,
4,1,33.4,0.2286,,,,,
4,1,33.9,0.2292,,,,,
4,1,34.4,0.2299,,,,,
4,1,34.9,0.2307,,,,,
4,1,35.3,0.2314,,,,,
4,1,35.8,0.2322,,,,,
4,1,36.2,0.2333,,,,,
4,1,36.7,0.2341,,,,,
4,1,37.3,0.2349,,,,,
4,1,37.8,0.2362,,,,,
4,1,38.3,0.2383,,,,,
4,1,38.7,0.2388,,,,,
4,1,39.3,0.24,,,,,
4,1,39.7,0.2413,,,,,
4,1,40.3,0.2422,,,,,
4,1,40.7,0.2439,,,,,
4,1,41.2,0.2457,,,,,
4,1,41.7,0.2465,,,,,
4,1,42.2,0.2475,,,,,
4,1,42.7,0.2498,,,,,
4,1,43.2,0.2502,,,,,
4,1,43.7,0.2512,,,,,
4,1,44.2,0.2528,,,,,
4,1,44.7,0.2534,,,,,
4,1,45.2,0.2544,,,,,
4,1,45.7,0.2556,,,,,
4,1,46.2,0.2566,,,,,
4,1,46.7,0.2572,,,,,
4,1,47.2,0.2582,,,,,
4,1,47.7,0.2591,,,,,
4,1,48.1,0.2595,,,,,
4,1,48.6,0.2602,,,,,
4,1,49.1,0.2606,,,,,
4,1,49.6,0.2611,,,,,
4,1,50.1,0.2614,,,,,
4,1,50.7,0.2619,,,,,
4,1,51.1,0.2624,,,,,
4,1,51.6,0.2628,,,,,
4,1,52.1,0.2628,,,,,
4,1,52.6,0.2631,,,,,
4,1,53.1,0.2633,,,,,
4,1,53.6,0.2637,,,,,
4,1,54.1,0.2641,,,,,
4,1,54.6,0.2641,,,,,
4,1,55.1,0.2644,,,,,
4,1,55.6,0.2646,,,,,
4,1,56.1,0.2645,,,,,
4,1,56.6,0.2649,,,,,
4,1,57.1,0.2647,,,,,
4,1,57.6,0.265,,,,,
4,1,58.1,0.2652,,,,,
4,1,58.6,0.2651,,,,,
4,1,59.1,0.2655,,,,,
4,1,59.5,0.2657,,,,,
4,1,60.1,0.2659,,,,,
4,1,60.5,0.2664,,,,,
4,1,61.1,0.2659,,,,,
4,1,61.6,0.2661,,,,,
4,1,62,0.2664,,,,,
4,1,62.6,0.2664,,,,,
4,1,63.1,0.2666,,,,,
4,1,63.5,0.2668,,,,,
4,1,64.1,0.267,,,,,
4,1,64.5,0.2673,,,,,
4,1,65,0.2673,,,,,
4,1,65.5,0.2677,,,,,
4,1,66,0.2679,,,,,
4,1,66.5,0.268,,,,,
4,1,67,0.2679,,,,,
4,1,67.5,0.268,,,,,
4,1,68,0.2682,,,,,
4,1,68.5,0.2687,,,,,
4,1,69,0.2685,,,,,
4,1,69.5,0.269,,,,,
4,1,70,0.2694,,,,,
4,1,70.5,0.2693,,,,,
4,1,70.9,0.2696,,,,,
4,1,71.4,0.2696,,,,,
4,1,72,0.27,,,,,
4,1,72.5,0.2701,,,,,
4,1,73,0.2703,,,,,
4,1,73.5,0.2709,,,,,
4,1,73.9,0.2711,,,,,
4,1,74.4,0.2716,,,,,
4,1,75,0.2717,,,,,
4,1,75.4,0.2723,,,,,
4,1,75.9,0.2725,,,,,
4,1,76.3,0.273,,,,,
4,1,77,0.2733,,,,,
