Concentration.M,dH.kcal.mol,dS.cal.molK,dG.kcal.mol,Tm.degC
7.92E-06,-58.22,-154.73,-10.23,48.84
2.08E-05,-56.82,-150.21,-10.23,52.66
3.64E-05,-36.52,-171.44,-10.35,53.41
6.03E-05,-65.02,-175.38,-10.63,56.18
9.62E-05,-64.37,-173.62,-10.52,57.38
1.04E-04,-60.88,-163.04,-10.31,57.66
