Method,dH.kcal.mol,SE.dH.kcal.mol,dS.cal.molK,SE.dS.cal.molK,dG.kcal.mol,SE.dG.kcal.mol,Tm.degC,SE.Tm.degC
1 individual fits,-61.47,3.400,-164.74,10.499,-10.38,0.163,57.7,
2 Tm versus ln[Ct],-62.23,3.751,-167.11,11.450,-10.40,0.207,57.6,
