Method,dH.kcal.mol,SE.dH.kcal.mol,dS.cal.molK,SE.dS.cal.molK,dG.kcal.mol,SE.dG.kcal.mol,Tm.degC,SE.Tm.degC
1 individual fits,-51.06,3.567,-141.39,11.476,-7.21,0.087,41.2,
2 Tm versus ln[Ct],-48.17,1.779,-132.17,5.730,-7.18,0.024,41.2,
