Concentration.M,dH.kcal.mol,dS.cal.molK,dG.kcal.mol,Tm.degC
6.39E-06,-52.00,-144.51,-7.18,30.88
1.12E-05,-42.96,-115.20,-7.21,32.23
1.75E-05,-51.77,-143.88,-7.14,34.24
2.92E-05,-52.44,-146.09,-7.13,36.06
4.96E-05,-51.19,-141.78,-7.22,38.57
8.99E-05,-52.03,-144.79,-7.13,40.19
1.41E-04,-50.07,-139.77,-7.35,43.45
2.15E-04,-55.43,-155.07,-7.33,44.29
