"Method","dH","CI95.dH","dS","CI95.dS","dG","CI95.dG","Tm_at_0.1mM","CI95.Tm_at_0.1mM"
"1 Individual fits",-55.71,"-56.82 to -54.88",-153.38,"-156.81 to -150.77",-8.14,"-8.19 to -8.11",51.35,"51.27 to 51.45"
"2 Tm versus ln[Ct]",-55.66,"-56.74 to -54.71",-153.26,"-156.58 to -150.28",-8.13,"-8.18 to -8.09",51.29,"51.18 to 51.42"
"3 Global fit",-56.94,"-58.19 to -55.96",-157.06,"-160.79 to -154.01",-8.23,"-8.33 to -8.17",51.54,"51.23 to 51.85"
