Sample,Pathlength,Temperature,Absorbance, ,, ,, 
1,1,3.8,-0.0008,,,,,
1,1,3.8,-0.0008,,,,,
1,1,4,-0.0008,,,,,
1,1,4,-0.0007,,,,,
1,1,4.3,-0.0008,,,,,
1,1,4.8,-0.0009,,,,,
1,1,5.3,-0.0006,,,,,
1,1,5.8,-0.0007,,,,,
1,1,6.2,-0.0006,,,,,
1,1,6.7,-0.0006,,,,,
1,1,7.2,-0.0006,,,,,
1,1,7.7,-0.0006,,,,,
1,1,8.1,-0.0006,,,,,
1,1,8.7,-0.0006,,,,,
1,1,9.1,-0.0006,,,,,
1,1,9.6,-0.0005,,,,,
1,1,10.2,-0.0005,,,,,
1,1,10.7,-0.0004,,,,,
1,1,11.2,-0.0004,,,,,
1,1,11.6,-0.0004,,,,,
1,1,12.1,-0.0003,,,,,
1,1,12.6,-0.0003,,,,,
1,1,13.1,-0.0003,,,,,
1,1,13.5,-0.0001,,,,,
1,1,14,-0.0002,,,,,
1,1,14.5,-0.0002,,,,,
1,1,15,0,,,,,
1,1,15.4,0,,,,,
1,1,15.9,0,,,,,
1,1,16.4,0.0001,,,,,
1,1,16.9,0,,,,,
1,1,17.4,0,,,,,
1,1,17.9,0,,,,,
1,1,18.3,0.0001,,,,,
1,1,18.8,0.0001,,,,,
1,1,19.3,0.0001,,,,,
1,1,19.8,0.0003,,,,,
1,1,20.3,0.0004,,,,,
1,1,20.8,0.0004,,,,,
1,1,21.2,0.0005,,,,,
1,1,21.8,0.0003,,,,,
1,1,22.3,0.0003,,,,,
1,1,22.8,0.0002,,,,,
1,1,23.4,0.0005,,,,,
1,1,23.9,0.0006,,,,,
1,1,24.4,0.0008,,,,,
1,1,24.7,0.0008,,,,,
1,1,25.2,0.0008,,,,,
1,1,25.8,0.0008,,,,,
1,1,26.2,0.0006,,,,,
1,1,26.7,0.0007,,,,,
1,1,27.2,0.0008,,,,,
1,1,27.7,0.0008,,,,,
1,1,28.2,0.001,,,,,
1,1,28.7,0.0007,,,,,
1,1,29.2,0.0007,,,,,
1,1,29.6,0.0008,,,,,
1,1,30.1,0.001,,,,,
1,1,30.7,0.0013,,,,,
1,1,31.2,0.0012,,,,,
1,1,31.6,0.001,,,,,
1,1,32.1,0.0011,,,,,
1,1,32.6,0.0011,,,,,
1,1,33.1,0.0012,,,,,
1,1,33.6,0.0011,,,,,
1,1,34.1,0.0017,,,,,
1,1,34.6,0.0013,,,,,
1,1,35.1,0.0015,,,,,
1,1,35.6,0.0017,,,,,
1,1,36.1,0.0014,,,,,
1,1,36.6,0.0016,,,,,
1,1,37,0.002,,,,,
1,1,37.5,0.0016,,,,,
1,1,38,0.0019,,,,,
1,1,38.5,0.0019,,,,,
1,1,39,0.0018,,,,,
1,1,39.5,0.0019,,,,,
1,1,40,0.0021,,,,,
1,1,40.5,0.0023,,,,,
1,1,41,0.0023,,,,,
1,1,41.5,0.0022,,,,,
1,1,41.9,0.0023,,,,,
1,1,42.4,0.0025,,,,,
1,1,42.9,0.0023,,,,,
1,1,43.5,0.0026,,,,,
1,1,43.9,0.0026,,,,,
1,1,44.4,0.003,,,,,
1,1,44.9,0.0029,,,,,
1,1,45.4,0.0029,,,,,
1,1,45.9,0.0032,,,,,
1,1,46.4,0.003,,,,,
2,0.1,3.8,0.713,,,,,
2,0.1,3.8,0.7132,,,,,
2,0.1,4,0.7141,,,,,
2,0.1,4,0.7143,,,,,
2,0.1,4.3,0.7163,,,,,
2,0.1,4.8,0.7181,,,,,
2,0.1,5.3,0.7205,,,,,
2,0.1,5.8,0.7223,,,,,
2,0.1,6.2,0.7243,,,,,
2,0.1,6.7,0.7266,,,,,
2,0.1,7.2,0.7286,,,,,
2,0.1,7.7,0.7309,,,,,
2,0.1,8.1,0.7332,,,,,
2,0.1,8.7,0.7362,,,,,
2,0.1,9.1,0.7388,,,,,
2,0.1,9.6,0.742,,,,,
2,0.1,10.2,0.7456,,,,,
2,0.1,10.7,0.7484,,,,,
2,0.1,11.2,0.7515,,,,,
2,0.1,11.6,0.7549,,,,,
2,0.1,12.1,0.7591,,,,,
2,0.1,12.6,0.7627,,,,,
2,0.1,13.1,0.7669,,,,,
2,0.1,13.5,0.7712,,,,,
2,0.1,14,0.776,,,,,
2,0.1,14.5,0.7808,,,,,
2,0.1,15,0.7863,,,,,
2,0.1,15.4,0.7915,,,,,
2,0.1,15.9,0.7971,,,,,
2,0.1,16.4,0.8032,,,,,
2,0.1,16.9,0.8098,,,,,
2,0.1,17.4,0.8164,,,,,
2,0.1,17.9,0.8232,,,,,
2,0.1,18.3,0.8312,,,,,
2,0.1,18.8,0.8387,,,,,
2,0.1,19.3,0.847,,,,,
2,0.1,19.8,0.8555,,,,,
2,0.1,20.3,0.8635,,,,,
2,0.1,20.8,0.8729,,,,,
2,0.1,21.2,0.8816,,,,,
2,0.1,21.8,0.893,,,,,
2,0.1,22.3,0.9028,,,,,
2,0.1,22.8,0.9128,,,,,
2,0.1,23.4,0.9219,,,,,
2,0.1,23.9,0.9309,,,,,
2,0.1,24.4,0.9386,,,,,
2,0.1,24.7,0.9438,,,,,
2,0.1,25.2,0.9532,,,,,
2,0.1,25.8,0.9617,,,,,
2,0.1,26.2,0.9688,,,,,
2,0.1,26.7,0.9744,,,,,
2,0.1,27.2,0.9816,,,,,
2,0.1,27.7,0.9874,,,,,
2,0.1,28.2,0.9936,,,,,
2,0.1,28.7,0.9995,,,,,
2,0.1,29.2,1.0042,,,,,
2,0.1,29.6,1.0085,,,,,
2,0.1,30.1,1.0129,,,,,
2,0.1,30.7,1.0169,,,,,
2,0.1,31.2,1.0204,,,,,
2,0.1,31.6,1.0236,,,,,
2,0.1,32.1,1.0263,,,,,
2,0.1,32.6,1.0294,,,,,
2,0.1,33.1,1.0317,,,,,
2,0.1,33.6,1.0345,,,,,
2,0.1,34.1,1.0372,,,,,
2,0.1,34.6,1.04,,,,,
2,0.1,35.1,1.041,,,,,
2,0.1,35.6,1.0428,,,,,
2,0.1,36.1,1.0452,,,,,
2,0.1,36.6,1.0471,,,,,
2,0.1,37,1.048,,,,,
2,0.1,37.5,1.0485,,,,,
2,0.1,38,1.0499,,,,,
2,0.1,38.5,1.0499,,,,,
2,0.1,39,1.0499,,,,,
2,0.1,39.5,1.0514,,,,,
2,0.1,40,1.0519,,,,,
2,0.1,40.5,1.0523,,,,,
2,0.1,41,1.0523,,,,,
2,0.1,41.5,1.0528,,,,,
2,0.1,41.9,1.0528,,,,,
2,0.1,42.4,1.0538,,,,,
2,0.1,42.9,1.0543,,,,,
2,0.1,43.5,1.0547,,,,,
2,0.1,43.9,1.0547,,,,,
2,0.1,44.4,1.0552,,,,,
2,0.1,44.9,1.0562,,,,,
2,0.1,45.4,1.0562,,,,,
2,0.1,45.9,1.0572,,,,,
2,0.1,46.4,1.0576,,,,,
3,0.5,3.8,0.6613,,,,,
3,0.5,3.8,0.6611,,,,,
3,0.5,4,0.6617,,,,,
3,0.5,4,0.6622,,,,,
3,0.5,4.3,0.6648,,,,,
3,0.5,4.8,0.6672,,,,,
3,0.5,5.3,0.6687,,,,,
3,0.5,5.8,0.6707,,,,,
