"Sample","Ct","dH","dS","dG","Tm"
"js7008_Gua-Cell 02.o3a",4.08e-07,-25.78,-75.55,-2.36,68.14
"js7008_Gua-Cell 03.o3a",7.12e-07,-25.15,-74.38,-2.1,65.03
"js7008_Gua-Cell 04.o3a",1.2e-06,-26.53,-78.35,-2.24,65.49
"js7008_Gua-Cell 05.o3a",1.98e-06,-29.14,-86.26,-2.4,64.71
"js7008_Gua-Cell 06.o3a",3.17e-06,-29.29,-86.54,-2.46,65.28
"js7008_Gua-Cell 08.o3a",5.41e-06,-27.05,-80.09,-2.23,64.65
"js7008_Gua-Cell 10.o3a",1.48e-05,-24.55,-72.39,-2.1,65.92
"js7008_Gua-Cell 11.o3a",2.47e-05,-28.68,-84.63,-2.44,65.73
