"Method","H","SE.H","S","SE.S","G","SE.G","Tm_at_0.1mM","SE.Tm_at_0.1mM"
"1 individual fits",-55.61,1.17,-154.1,3.96,-7.82,0.2,49.41,1.64
"2 Tm versus ln[Ct]",-52.45,4.84,-144.31,15.04,-7.7,0.19,49.4,6.88
"3 Global fit",-56.53,0.23,-156.67,0.7,-7.94,0.01,49.93,0.3
