"Sample","Ct","H","S","G","Tm"
"62",0.000330544467273261,-66.43,-0.2075,-2.07,24.17
"63",5.85456413266804e-05,-65.96,-0.2058,-2.14,19.83
"64",1.42001761080129e-05,-59.99,-0.1858,-2.35,15.25
"66",0.000187499266216613,-51.73,-0.1577,-2.82,22.88
"67",3.43322571176989e-05,-62.17,-0.1931,-2.29,18.04
"68",9.1018491341356e-06,-49.34,-0.1497,-2.92,12.51
"70",0.000110293513354858,-55.37,-0.1701,-2.63,21.12
"71",2.08629292632815e-05,-62.16,-0.193,-2.31,16.78
"72",5.70296448488406e-06,-51.73,-0.159,-2.41,9.48
