"Sample","Ct","H","S","G","Tm"
"2",4.77489941176471e-06,-56.41,-0.1575,-7.58,32.52
"4",8.42578907754011e-06,-33.89,-0.0856,-7.33,30.48
"5",1.3106035040107e-05,-46.02,-0.1241,-7.51,35.19
"6",2.19473609358289e-05,-44.6,-0.1198,-7.45,36.88
"7",3.72738761764706e-05,-48.22,-0.1313,-7.51,39.4
"8",6.63492131016043e-05,-77.2,-0.2254,-7.3,39.1
"9",0.000106262778208556,-57.19,-0.1596,-7.71,43.71
"10",0.000162161352807487,-61.4,-0.1731,-7.72,44.67
