"Method","H","SE.H","S","SE.S","G","SE.G","Tm_at_0.1mM","SE.Tm_at_0.1mM"
"1 individual fits",-81.28,4.48,-234.28,13.87,-8.61,0.2,48.65,3.93
"2 Tm versus ln[Ct]",-74.68,2.6,-213.7,8.16,-8.4,0.07,48.74,2.52
"3 Global fit",-84.16,0.31,-243.23,0.95,-8.72,0.01,48.65,0.26
