"Sample","Ct","H","S","G","Tm"
"1",3.05020522995523e-06,-58.48,-0.1584,-9.37,40.69
"4",7.87780786528287e-06,-68.4,-0.1901,-9.43,43.17
"5",1.37546463268213e-05,-59.5,-0.1618,-9.33,45.42
"6",2.36396339234839e-05,-57.08,-0.1542,-9.24,47.21
"7",3.75225236467236e-05,-62.45,-0.1707,-9.51,49.24
"8",6.1989995014245e-05,-60.65,-0.1656,-9.28,50.09
"9",9.88436657509158e-05,-63.45,-0.1742,-9.43,51.8
"10",0.000160658218864469,-65.28,-0.1796,-9.59,53.77
