"Method","H","SE.H","S","SE.S","G","SE.G","Tm_at_0.1mM","SE.Tm_at_0.1mM"
"1 individual fits",-58.08,5.15,-160.62,16.68,-8.26,0.13,51.46,7.03
"2 Tm versus ln[Ct]",-49.94,4,-135.3,12.42,-7.98,0.16,51.97,6.33
"3 Global fit",-55.93,0.35,-153.55,1.06,-8.3,0.02,52.3,0.49
