"Method","H","SE.H","S","SE.S","G","SE.G","Tm_at_0.1mM","SE.Tm_at_0.1mM"
"1 individual fits",-53.12,13.05,-147.05,42.05,-7.51,0.15,42.84,16.15
"2 Tm versus ln[Ct]",-49.96,6.16,-137.21,19.81,-7.4,0.09,42.52,8.07
"3 Global fit",-55.15,0.47,-153.31,1.48,-7.6,0.02,43.14,0.56
