"Sample","Ct","H","S","G","Tm"
"2",1.81142870659722e-06,-82.95,-0.2224,-13.97,56.75
"3",3.10604158854167e-06,-83.79,-0.2247,-14.1,58.49
"4",5.62943734375e-06,-89.14,-0.2401,-14.69,60.92
"5",1.02147564409722e-05,-84.61,-0.2273,-14.12,61.44
"6",1.81893280902778e-05,-92.98,-0.2529,-14.53,62.04
"7",3.33259938368056e-05,-82.09,-0.2196,-13.97,64.83
"8",5.9661975e-05,-81.57,-0.218,-13.95,66.58
"9",8.020306015625e-05,-87.95,-0.2363,-14.67,68.03
