"Method","H","SE.H","S","SE.S","G","SE.G","Tm_at_0.1mM","SE.Tm_at_0.1mM"
"1 individual fits",-70.4,4.75,-193.46,14.54,-10.39,0.27,55.03,5.56
"2 Tm versus ln[Ct]",-64.86,1.58,-176.46,4.9,-10.13,0.07,55.23,2.04
"3 Global fit",-70.22,0.32,-192.91,0.98,-10.38,0.02,55.03,0.38
