"Method","H","SE.H","S","SE.S","G","SE.G","Tm_at_0.1mM","SE.Tm_at_0.1mM"
"1 individual fits",-56.11,7.2,-158.75,22.76,-6.87,0.21,43.76,8.42
"2 Tm versus ln[Ct]",-62.51,3.14,-178.85,9.95,-7.04,0.07,43.91,3.29
"3 Global fit",-53.56,0.5,-150.71,1.59,-6.82,0.02,43.75,0.62
