"Sample","Ct","H","S","G","Tm"
"50",0.000242205530897917,-86.69,-0.251,-8.84,50.84
"51",4.69204506657562e-05,-81.05,-0.2335,-8.61,46.75
"52",9.6688289518607e-06,-79.16,-0.2275,-8.59,42.86
"54",0.000140327756913622,-85.53,-0.2476,-8.75,49.38
"55",2.77603277569136e-05,-83.73,-0.2419,-8.69,45.46
"56",5.92523045407989e-06,-79.63,-0.2298,-8.35,40.68
"58",7.50734038921133e-05,-84.84,-0.245,-8.85,48.36
"59",1.57937862751792e-05,-78.51,-0.2256,-8.52,43.9
"60",4.49300102424036e-06,-72.37,-0.2066,-8.3,40.08
