"Sample","Ct","H","S","G","Tm"
"26",0.000411222627737226,-64.76,-0.1866,-6.88,47.29
"27",8.04457768508863e-05,-59.29,-0.1696,-6.7,41.7
"28",1.64207507820646e-05,-60.38,-0.1732,-6.66,36.31
"30",0.000233798227320125,-63.21,-0.1819,-6.8,45.28
"31",4.65093847758081e-05,-60.59,-0.1739,-6.67,39.67
"32",9.63242961418144e-06,-60.76,-0.1744,-6.65,34.64
"34",0.00012951511991658,-63.89,-0.184,-6.81,43.41
"35",2.71011470281543e-05,-60.44,-0.1731,-6.74,38.32
"36",7.26277372262774e-06,-60.98,-0.1749,-6.73,34.15
