"Method","H","SE.H","S","SE.S","G","SE.G","Tm_at_0.1mM","SE.Tm_at_0.1mM"
"1 individual fits",-58.32,6.45,-180.69,21.68,-2.28,0.29,19.93,3.25
"2 Tm versus ln[Ct]",-51.36,4.1,-156.94,14.09,-2.69,0.28,19.93,2.39
"3 Global fit",-62.78,1.01,-195.7,3.37,-2.09,0.04,20.21,0.48
