"Sample","Ct","H","S","G","Tm"
"2",0.000470153468385513,-56.73,-0.157,-8.02,56.17
"3",0.000106666666666667,-55.04,-0.1515,-8.06,51.31
"4",2.13351749539595e-05,-55.14,-0.1511,-8.27,46.54
"6",0.000269772866789441,-56.5,-0.1561,-8.08,54.47
"7",6.6329036218539e-05,-56.33,-0.1559,-7.97,48.68
"8",1.44290976058932e-05,-54.41,-0.1494,-8.07,44.01
"10",0.00016073357888275,-57.33,-0.1594,-7.89,51.17
"12",1.05494168201351e-05,-57.75,-0.161,-7.82,41.13
