"Method","H","SE.H","S","SE.S","G","SE.G","Tm_at_0.1mM","SE.Tm_at_0.1mM"
"1 individual fits",-74.28,5.7,-222.39,18.1,-5.31,0.1,35.46,3.97
"2 Tm versus ln[Ct]",-61.59,2.63,-181.14,8.6,-5.41,0.04,35.66,2.28
"3 Global fit",-77.88,0.34,-233.98,1.1,-5.31,0.01,35.55,0.23
