"Method","H","SE.H","S","SE.S","G","SE.G","Tm_at_0.1mM","SE.Tm_at_0.1mM"
"1 individual fits",-61.59,1.87,-176.37,5.78,-6.89,0.09,43.23,1.93
"2 Tm versus ln[Ct]",-58.48,0.87,-166.47,2.78,-6.85,0.01,43.35,0.97
"3 Global fit",-61.63,0.18,-176.45,0.56,-6.91,0.01,43.3,0.19
