Method,dH.kcal.mol,SE.dH.kcal.mol,dS.kcal.molK,SE.dS.kcal.molK,dG.kcal.mol,SE.dG.kcal.mol,Tm.degC,SE.Tm.degC
1 individual fits,-62.95,4.576,-168.92,13.768,-10.56,0.322,58.2,
2 Tm versus ln[Ct],-56.37,3.632,-148.96,11.072,-10.17,0.208,58.4,
