Concentration.M,dH.kcal.mol,dS.kcal.molK,dG.kcal.mol,Tm.degC
7.92E-06,-58.52,-155.68,-10.24,48.81
1.30E-05,,,,
2.05E-05,-57.84,-153.21,-10.32,52.84
3.58E-05,-63,-169.65,-10.38,53.71
5.97E-05,-70,-190.03,-11.06,56.85
9.36E-05,-65.94,-177.69,-10.83,58.42
0.000101,-62.38,-167.24,-10.51,58.15
