"Method","H","SE.H","S","SE.S","G","SE.G","Tm_at_0.1mM","SE.Tm_at_0.1mM"
"1 individual fits",-64.47,2.61,-177.11,8.26,-9.54,0.1,52.18,3.22
"2 Tm versus ln[Ct]",-63.99,2.66,-175.6,8.32,-9.52,0.09,52.24,3.29
"3 Global fit",-63.19,0.21,-173.07,0.66,-9.52,0.01,52.36,0.26
