"Method","dH","CI95.dH","dS","CI95.dS","dG","CI95.dG","Tm_at_0.1mM","CI95.Tm_at_0.1mM"
"1 Individual fits",-62.2,"-65.3 to -59.67",-193.62,"-204.39 to -184.89",-2.15,"-2.33 to -1.91",20.36,"20.1 to 20.49"
"2 Tm versus ln[Ct]",-61.93,"-65.15 to -59.06",-192.72,"-203.75 to -182.83",-2.16,"-2.36 to -1.96",20.35,"20.16 to 20.54"
"3 Global fit",-64.24,"-66.81 to -62.47",-200.36,"-209.06 to -194.38",-2.1,"-2.19 to -1.99",20.65,"20.49 to 20.78"
